data
0.0
0.0
0.4
34.0
45.0
49.4
50.0
91.03
223.67
275.33
277.85
277.85
368.58
409.9
454.9
464.92
614.5
762.25
819.08
1967.4
2628.3
2743.3
2743.3
3196.9
3214.8
